No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
1019,201904262069H A,MAL200461 54HA,Shihao Chlortetracyclin e 15% (w/w) Premix Granules,Prima Inter-chem Sdn. Bhd.,"Pucheng Chia Tai Biochemistry Co., Ltd.(CHINA)",30/4/2020,30/4/2025,New Registration Approval
1020,201904021987H A,MAL200461 57HA,TilmovetÂ® 200 g/kg Premix for Medicated Feeding Stuff for Pigs and Rabbits,PAHANG PHARMACY SDN. BHD.,Biovet Joint Stock Company(BUL GARIA),30/4/2020,30/4/2025,New Registration Approval
1021,201907052342X,MAL200461 49X,Mucostop Granules for Oral Solution 600 mg Sachet,MEDISPEC (M) SDN.BHD,Neutec Ilac Sanayi Ticaret A.S.(TURKEY),30/4/2020,30/4/2025,New Registration Approval
1022,201903291976A,MAL200461 23AZ,Pharmidea Carbetocin 100 microgram/ml solution for injection,Eucogen Pharma Sdn. Bhd.,SIA PHARMIDEA(L ATVIA),30/4/2020,30/4/2025,New Registration Approval
1023,201904041993A E,MAL200461 30AE,CETAGESIC TABLET,DUOPHARMA (M) SDN. BHD.,DUOPHARMA (M) SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1024,201906192266H A,MAL200461 56HA,Farmadox 50% w/w Soluble Powder,F.E. VENTURE SDN. BHD.,Farmabase Saude Animal Ltda(BRAZIL),30/4/2020,30/4/2025,New Registration Approval
1025,201907222406A,MAL200460 77ACRZ,XOFLUZA FILM- COATED TABLET 20MG,ROCHE (MALAYSIA) SDN. BHD.,"SHIONOGI & CO., LTD. SETTSU PLANT(JAPAN)",30/4/2020,30/4/2025,New Registration Approval
1026,201907222407A,MAL200460 78ACRZ,XOFLUZA FILM- COATED TABLET 40MG,ROCHE (MALAYSIA) SDN. BHD.,"SHIONOGI & CO., LTD. SETTSU PLANT(JAPAN)",30/4/2020,30/4/2025,New Registration Approval
1027,201905032104X,MAL200461 45X,IKOP ISALIC OINTMENT,IKOP SDN BHD,IKOP SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1028,201905032105X,MAL200461 46X,IKOP IKOOL OINTMENT,IKOP SDN BHD,IKOP SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1029,201908232572A,MAL200461 26AZ,INTACAPE 150 (Capecitabine Tablets USP 150 mg),ACCORD HEALTHCARE SDN.BHD.,INTAS PHARMACEUTI CALS LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1030,201905032106X,MAL200461 47XC,PANOMOR OINTMENT,HL PHARMACEUTICA LS SDN. BHD.,IKOP SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1031,201907012319H A,MAL200461 65HA,Tilmicin Oral Solution 25% w/v,F.E. VENTURE SDN. BHD.,"BETTER PHARMA CO., LTD.(THAILAN D)",30/4/2020,30/4/2025,New Registration Approval
1032,201909302753X,MAL200461 52XZ,PARACAP PARACETAMOL 250MG/5ML ORAL SUSPENSION,Health Pharm Marketing Sdn Bhd,UMEDA Co. Ltd(THAILAND ),30/4/2020,30/4/2025,New Registration Approval
1033,201907112366H A,MAL200461 67HAC,LSTYVET 50%W/W PREMIX POWDER,Lim Seng Pharmachem Sdn Bhd,Thye Pharma Sdn. Bhd(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1034,201908232568X,MAL200461 36XC,Minyak Urut Qian Li Zhui Feng Yew Cap Pancor Mas,DIAMOND MEDICAL COMPANY,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1035,201908232569X,MAL200461 35XC,Ken- Ku Oil Cap Pancor Mas,DIAMOND MEDICAL COMPANY,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1036,201906282312A,MAL200461 25AZ,KETOPRO (KETOPROFEN GEL BP 2.5% W/W),Synercam (M) Sdn Bhd,Mepro Pharmaceutica ls Private Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
1037,201909172698X,MAL200461 48XZ,Zole Topical Solution (Clotrimazole 1% w/v),KCK PHARMACEUTICA L INDUSTRIES SDN. BHD.,KCK PHARMACEUTI CAL INDUSTRIES SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1038,201911283036X,MAL200461 44XR,Calmoseptine Ointment,ZUELLIG PHARMA SDN BHD,"Calmo Manufacturing , Inc(UNITED STATES)",30/4/2020,30/4/2025,New Registration Approval
1039,201907312443H A,MAL200461 64HA,ESPACOX 50mg/ml Oral Suspension,Yenher Agro- products Sdn. Bhd.,"Industrial Veterinaria, S.A. (INVESA)(SPA IN)",30/4/2020,30/4/2025,New Registration Approval
1040,201910172830X,MAL200461 42XS,TIGER BALM WHITE OINTMENT,TIGER BALM (M) SDN BHD,"XIAMEN TIGER MEDICALS CO.,LTD(CHIN A)",30/4/2020,30/4/2025,New Registration Approval
1041,201907152372H A,MAL200461 69HA,Biocillin 150mg/ml LA Suspension for Injection,Danberg (m) Sdn Bhd,Interchemie Werken de Adelaar Eesti AS(ESTONIA),30/4/2020,30/4/2025,New Registration Approval
1042,201910022764X,MAL200461 43XS,TIGER BALM PLUS OINTMENT,TIGER BALM (M) SDN BHD,"XIAMEN TIGER MEDICALS CO.,LTD(CHIN A)",30/4/2020,30/4/2025,New Registration Approval
1043,201909232714H A,MAL200461 66HAC,KHC TRIMETHOMIX 400/80MG/G PREMIX POWDER,KHENG HONG CHAN FARMING SDN BHD,Thye Pharma Sdn. Bhd(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1044,201908262583H X,MAL200461 58HX,Gallifen 200mg/ml suspension for use in drinking water for chicken,PAHANG PHARMACY SDN. BHD.,Biovet Joint Stock Company(BUL GARIA),30/4/2020,30/4/2025,New Registration Approval
1045,201909132677A,MAL200460 71AZ,LENANGIO 5 (LENALIDOMIDE HARD CAPSULES 5MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,DR. REDDY'S LABORATORIE S LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1046,201909132678A,MAL200460 72AZ,LENANGIO 10 (LENALIDOMIDE HARD CAPSULES 10MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,DR. REDDY'S LABORATORIE S LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1047,201909132679A,MAL200460 73AZ,LENANGIO 15 (LENALIDOMIDE HARD CAPSULES 15MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,DR. REDDY'S LABORATORIE S LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1048,201909132680A,MAL200460 74AZ,LENANGIO 25 (LENALIDOMIDE HARD CAPSULES 25MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,DR. REDDY'S LABORATORIE S LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1049,201911152980A,MAL200461 29AZ,JEDOXRED 500 (DEFERASIROX DISPERSIBLE TABLETS 500MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,MSN Laboratories Private Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
1050,201911072935X,MAL200461 50XZ,IDAMOL TABLET 500MG,IDAMAN PHARMA MANUFACTURIN G SDN BHD,IDAMAN PHARMA MANUFACTUR ING SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1051,201911122953X,MAL200461 51XZ,ACTIMOL SUSPENSION 250MG/5ML,IDAMAN PHARMA MANUFACTURIN G SDN BHD,IDAMAN PHARMA MANUFACTUR ING SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1052,201910142822X,MAL200461 37X,Three Legs Septyc-Kare Antiseptic Spray 1%w/v,SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1053,201909252732H A,MAL200461 55HA,Baytril Flavour Tablets 150 mg,BAYER CO. (MALAYSIA) SDN. BHD.,KVP Pharma + Veterinar Produkte GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1054,201911152981A,MAL200461 27AZ,JEDOXRED 125 (DEFERASIROX DISPERSIBLE TABLETS 125MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,MSN Laboratories Private Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
1055,201911152982A,MAL200461 28AZ,JEDOXRED 250 (DEFERASIROX DISPERSIBLE TABLETS 250MG),Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,MSN Laboratories Private Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
1056,201912183173H A,MAL200461 61HA,SEFTIONEL 50MG/ML INJECTION,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1057,201911042900A E,MAL200461 32AE,Pravastin Tablet 40mg,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1058,202001173309X,MAL200461 40X,Three Legs Roll On Liniment (Green Tea),SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1059,201911042901A E,MAL200461 31AE,Pravastin Tablet 20mg,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1060,201911082937H A,MAL200461 62HA,DURACIN 10G/KG POWDER,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1061,202001063227A,MAL200460 68AZ,INVEGA TRINZA 263mg/1.315m L Prolonged- Release Suspension for Intramuscular Injection,JOHNSON & JOHNSON SDN BHD,JANSSEN PHARMACEUTI CA N.V.(BELGIUM ),30/4/2020,30/4/2025,New Registration Approval
1062,202001063228A,MAL200460 69AZ,INVEGA TRINZA 350mg/1.750m L Prolonged- Release Suspension for Intramuscular Injection,JOHNSON & JOHNSON SDN BHD,JANSSEN PHARMACEUTI CA N.V.(BELGIUM ),30/4/2020,30/4/2025,New Registration Approval
1063,202001063229A,MAL200460 70AZ,INVEGA TRINZA 525mg/2.625m L Prolonged- Release Suspension for Intramuscular Injection,JOHNSON & JOHNSON SDN BHD,JANSSEN PHARMACEUTI CA N.V.(BELGIUM ),30/4/2020,30/4/2025,New Registration Approval
1064,201911283053H A,MAL200461 60HA,ROBENXIN 66G/KG POWDER,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1065,202001173310X,MAL200461 39X,Three Legs Roll On Liniment (Lime),SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1066,202001173311X,MAL200461 41X,Three Legs Roll On Liniment (Yuzu),SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1067,201912053100X,MAL200461 33X,Alsoft A Hand Disinfectant 0.2% w/v,Goodmaid Chemicals Corp. Sdn. Bhd.,Goodmaid Chemicals Corp. Sdn. Bhd.(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1068,202001133288X,MAL200461 34XZ,BACTEDENE GEL 10%W/W,Top Biopharma Sdn Bhd,"Macrophar Co.,Ltd(THAIL AND)",30/4/2020,30/4/2025,New Registration Approval
1069,201911122954H A,MAL200461 63HA,FLUNICURE 50MG/ML INJECTION,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1070,201912203199H A,MAL200461 68HA,TP-OTC HCL 500MG/G WATER SOLUBLE POWDER,Thye Pharma Sdn. Bhd,Thye Pharma Sdn. Bhd(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1071,202001213324H A,MAL200461 59HA,Catosal 10% w/v Injectable Solution,BAYER CO. (MALAYSIA) SDN. BHD.,"Bayer Korea Ltd(KOREA,SO UTH)",30/4/2020,30/4/2025,New Registration Approval
1072,202001173312X,MAL200461 38X,Three Legs Roll On Liniment (Orange),SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
1,201912023075N,MAL200161 58N,NHF CHOLINE BITARTRATE 450MG CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
2,201911293057N,MAL200161 59N,HS CHONDROITIN SULPHATE 600MG CAPSULE,HERBAL SCIENCE SDN. BHD. SELANGOR,HERBAL SCIENCE SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
3,201912023074N,MAL200161 60N,NHF MAGNESIUM PLUS POTASSIUM CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
4,201912023076N,MAL200161 61N,EXCELAB GAVIPRO CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
5,201912023077N,MAL200161 62N,EXCELAB INSTANEU CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
6,201912023079N,MAL200161 63N,EXCELAB ELDERBERRY C PLUS CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD.,8/1/2020,8/1/2025,New Product Registration
7,201911052915N,MAL200161 64NC,UHC CALCIUM 500MG PLUS MAGNESIUM TABLET,MILRIN PHARMACEUTICA L CO. (M) SDN BHD PULAU PINANG,VIVA PHARMACEUTI CAL INC. (CANADA),8/1/2020,8/1/2025,New Product Registration
8,201912073121N,MAL200161 65NC,JANIPRO PREBIOTIC & PROBIOTICS LABISA CAPSULE,JANIPRO (M) SDN BHD,DONG FOONG MANUFACTUR ING SDN BHD,8/1/2020,8/1/2025,New Product Registration
9,201910042770N,MAL200161 66N,APOTEC KERATIZ CAPSULE,"DC BOTANICAL SCIENCE INNOVATION TRADING, SELANGOR",HERBAL SCIENCE SDN. BHD. SELANGOR,8/1/2020,8/1/2025,New Product Registration
10,201908162524N,MAL200161 67N,ZINKACIL LOZENGES (BLACK,YANLING NATURAL HYGIENE SDN.,YANLING NATURAL HYGIENE,8/1/2020,8/1/2025,New Product Registration
11,201907262427N,MAL200161 68N,NN CALCIUM COMPLEX TABLET,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,8/1/2020,8/1/2025,New Product Registration
12,201910222845N,MAL200161 69N,NHF MAGNESIUM D3 PLUS CAPSULE,LIFETREE ASIA SDN BHD,"ALPHA LABORATORIE S (NZ) LTD., NEW ZEALAND",8/1/2020,8/1/2025,New Product Registration
13,201911182992N,MAL200161 70NCR,LIFETREE ASIA OVINE PLACENTA + GRAPE SEED EXTRACT,BIOCARE PHARMACEUTICA L (M) SDN. BHD.,"PLETHICO LABORATORIE S PVT. LTD, INDIA",8/1/2020,8/1/2025,New Product Registration
14,201912093125N,MAL200161 71NCE,DC GLUTA-C CAPSULE,"DC BOTANICAL SCIENCE INNOVATION TRADING, SELANGOR",HERBAL SCIENCE SDN. BHD. SELANGOR,8/1/2020,8/1/2025,New Product Registration
15,201910272860N,MAL200161 82N,NUZEEL COQ10 150MG SOFTGEL CAPSULE,CAMERON BIOSCIENCE (M) SDN BHD,"ALPHA LABORATORIE S (NZ) LTD., NEW ZEALAND",21/1/2020,21/1/2025,New Product Registration
16,201907192393N,MAL200161 83N,CITREX COENZYME Q10 100MG CAPSULE,"IDAMAN PHARMA MANUFACTURIN G SDN BHD, KEDAH","IDAMAN PHARMA MANUFACTUR ING SDN BHD, KEDAH",21/1/2020,21/1/2025,New Product Registration
17,201907192392N,MAL200161 84N,CITREX COENZYME Q10 30MG CAPSULE,"IDAMAN PHARMA MANUFACTURIN G SDN BHD, KEDAH","IDAMAN PHARMA MANUFACTUR ING SDN BHD, KEDAH",21/1/2020,21/1/2025,New Product Registration
18,201909032628N,MAL200161 85NC,KORDEL`S R- ALPHA LIPOIC ACID 150MG VEGETABLE CAPSULE,"CAMBERT (M) SDN BHD,","WHITE HERON PHARMACEUTI CAL SDN. BHD.,",21/1/2020,21/1/2025,New Product Registration
19,201906252296N,MAL200161 86NCR,BIO-LIFE FISH OIL 1000MG CAPSULE,MEGA LIFESCIENCES SDN. BHD. SELANGOR,"MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,",21/1/2020,21/1/2025,New Product Registration
20,201906252297N,MAL200161 87NCR,MEGA WE CARE Q10 PLUS SOFT CAPSULE,MEGA LIFESCIENCES SDN. BHD. SELANGOR,"MEGA LIFESCIENCES PUBLIC COMPANY LIMITED, THAILAND",21/1/2020,21/1/2025,New Product Registration
21,201909122673N,MAL200161 88NC,OPCEDEN FORTIGEN POWDER,ASIA HEALTHCARE SDN. BHD. SELANGOR,YANLING NATURAL HYGIENE SDN. BHD. SELANGOR,21/1/2020,21/1/2025,New Product Registration
22,201911192994N,MAL200161 89NC,NEVGARD CAPSULE,"AESTHESUISSE SDN BHD., SELANGOR","ESPRIT CARE SDN. BHD., SELANGOR",21/1/2020,21/1/2025,New Product Registration
23,201907042337N,MAL200161 90N,APOTEC COLLASHINE LIQUID,BIOALPHA INTERNATIONAL SDN. BHD. SELANGOR,"BIOALPHA INTERNATION AL SDN. BHD. SELANGOR, UNITED STATES",21/1/2020,21/1/2025,New Product Registration
24,201906122230N,MAL200161 91NCR,LIFESENZE NATUR C PLUS TIME RELEASE TABLET,HL PHARMACEUTICA LS SDN. BHD.,ARNET PHARMACEUTI CAL CORPORATIO N,21/1/2020,21/1/2025,New Product Registration
25,201906262302N,MAL200161 92N,ORNUTE POWDER,YANLING NATURAL HYGIENE SDN. BHD. SELANGOR,YANLING NATURAL HYGIENE SDN. BHD. SELANGOR,21/1/2020,21/1/2025,New Product Registration
26,201906272306N,MAL200161 93NC,HERBALIFE COLLAGEN PLUS POWDER (ORANGE FLAVOUR),"HERBALIFE PRODUCTS MALAYSIA SDN BHD,","SINPHAR PHARMACEUTI CAL CO., LTD. FOOD FACTORY,TAI WAN",21/1/2020,21/1/2025,New Product Registration
27,201907162373N,MAL200161 94NC,OPCEDEN® CARTIGEN CAPSULE,ASIA HEALTHCARE SDN. BHD. SELANGOR,YANLING NATURAL HYGIENE SDN. BHD. SELANGOR,21/1/2020,21/1/2025,New Product Registration
28,201908302621N,MAL200161 95N,ZINKACIL LOZENGES (HONEY FLAVOUR),BIOCARE PHARMACEUTICA L (M) SDN. BHD. SELANGOR,"PLETHICO LABORATORIE S PVT. LTD., INDIA",21/1/2020,21/1/2025,New Product Registration
29,201908302620N,MAL200161 96N,ZINKACIL LOZENGES (ORANGE FLAVOR),BIOCARE PHARMACEUTICA L (M) SDN. BHD. SELANGOR,"PLETHICO LABORATORIE S PVT. LTD., INDIA",21/1/2020,21/1/2025,New Product Registration
30,201908302619N,MAL200161 97N,ZINKACIL LOZENGES (MINT FLAVOR),BIOCARE PHARMACEUTICA L (M) SDN. BHD. SELANGOR,"PLETHICO LABORATORIE S PVT. LTD., INDIA",21/1/2020,21/1/2025,New Product Registration
31,201911112948N,MAL200161 98NC,JANIPRO URICA POWDER,"JANIPRO (M) SDN BHD., SELANGOR","DONG FOONG MANUFACTUR ING SDN BHD., SELANGOR",21/1/2020,21/1/2025,New Product Registration
32,201907022326T,MAL200161 99TC,TIMING CHIANG HUO SHENG SHIH TANG EXTRACT GRANULES,"TIMING HERBS SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",8/1/2020,8/1/2025,New Product Registration
33,201909172687T,MAL200162 00TC,TIMING NEW KAN LU HSIAO DU YIN EXTRACT GRANULES,"TIMING HERBS SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",8/1/2020,8/1/2025,New Product Registration
34,201904232060T,MAL200162 01T,'S.T.T.' LING GUI ZHU GAN TANG EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO, LTD TAIWAN",8/1/2020,8/1/2025,New Product Registration
35,201907082352T,MAL200162 02TC,MINSYAM BLACK SEED OIL WITH POMEGRANATE OIL 500MG SOFTGEL,"MINSYAM SDN BHD, SELANGOR","MINSYAM PHARMA SDN BHD, SELANGOR",8/1/2020,8/1/2025,New Product Registration
36,201906192268T,MAL200162 03T,BHERBS JOINTS CAPSULE,"DS PHARMA HERBS SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",8/1/2020,8/1/2025,New Product Registration
37,201907102357T,MAL200162 04TC,DZR Z-GIBER CHEWABLE TABLET,"DZR PHARMA MANUFACTURE SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",8/1/2020,8/1/2025,New Product Registration
38,201906142246T,MAL200162 05T,SEJAGAT COL-B CAPSULE,"NMY MANUFACTURIN G SDN BHD, SELANGOR","NMY MANUFACTUR ING SDN BHD, SELANGOR",8/1/2020,8/1/2025,New Product Registration
39,201904011983T,MAL200162 06T,POWERLIFE ANELSA CAPSULE,"ESPRIT CARE SDN. BHD., SELANGOR","ESPRIT CARE SDN. BHD., SELANGOR",8/1/2020,8/1/2025,New Product Registration
40,201908262585T,MAL200162 07TC,FSH JING TONG BAO CAPSULE,"FU SHENG HANG SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK.",8/1/2020,8/1/2025,New Product Registration
41,201907052346T,MAL200162 08TC,EQUALIVE GINKGO BILOBA EXTRACT 120MG CAPSULE,"SBL HEALTHCARE SDN BHD, PETALING JAYA","ESPRIT CARE SDN BHD, SELANGOR",8/1/2020,8/1/2025,New Product Registration
42,201907102362T,MAL200162 09TC,ACHLIM COSTUS SPECIOSUS 450MG CAPSULE,"ACHLIM TRADING SDN. BHD., KUALA LUMPUR","TST BIOCEUTICAL SDN. BHD., PERAK",8/1/2020,8/1/2025,New Product Registration
43,201905282180T,MAL200162 10TC,P-RES ECHINACEA ANGUSTIFOLIA EXTRACT 100MG TABLET,"NUSCIENCE PHARMACEUTICA LS (PG) SDN. BHD., PULAU PINANG","POLLUX GENTECH SDN. BHD., SELANGOR",8/1/2020,8/1/2025,New Product Registration
44,201906132236T,MAL200162 11TC,SAADI AL HABBATUS SAUDA' 500MG SOFTGEL,"AL BALADUL AMIN TRADING, PAHANG","MINSYAM PHARMA SDN BHD, SELANGOR",8/1/2020,8/1/2025,New Product Registration
45,201906202273T,MAL200162 21T,KO DA BU ZHONG YI QI TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
46,201906202278T,MAL200162 22T,KO DA SHAO YAO GAN CAO TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
47,201906202283T,MAL200162 23T,KO DA SHEN LING BAI ZHU SAN EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
48,201906202276T,MAL200162 24T,KO DA XIN UEN DAAN TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
49,201906202281T,MAL200162 25T,KO DA WEI HE LE EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
50,201909122670T,MAL200162 26T,KO DA XIAO JIAN ZHONG TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR.","KO DA PHARMACEUTI CAL CO. LTD, TAIWAN",21/1/2020,21/1/2025,New Product Registration
51,201904232061T,MAL200162 27T,S.T.T. BU ZHONG YI QI TANG EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO., LTD., TAIWAN",21/1/2020,21/1/2025,New Product Registration
52,201904232057T,MAL200162 28T,S.T.T. BAN SIA SIE SIN TANG EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO., LTD., TAIWAN",21/1/2020,21/1/2025,New Product Registration
53,201904232059T,MAL200162 29T,S.T.T SANG JYU YIN EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO., LTD., TAIWAN",21/1/2020,21/1/2025,New Product Registration
54,201904232054T,MAL200162 30T,S.T.T. SAN HUANG SIE SIN TANG EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO., LTD., TAIWAN",21/1/2020,21/1/2025,New Product Registration
55,201904232058T,MAL200162 31T,S.T.T. GUEI JHIH FU LING WAN EXTRACT GRANULE,"YO HO LIFESTYLE SDN BHD, SELANGOR","SAN TSAI TANG PHARMACEUTI CAL CO., LTD., TAIWAN",21/1/2020,21/1/2025,New Product Registration
56,201905022099T,MAL200162 32TC,ISAGENIX ISAFLUSH CAPSULE,"ISAGENIX (ASIA PACIFIC) MALAYSIA SDN BHD, KUALA LUMPUR","ARIZONA NUTRITIONAL SUPPLEMENTS , UNITED STATES",21/1/2020,21/1/2025,New Product Registration
57,201908082487T,MAL200162 33T,NATURE'S GREEN YAOSUANTONG CAPSULES,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",21/1/2020,21/1/2025,New Product Registration
58,201908052463T,MAL200162 34T,SEJAGAT SINUS CARE CHEWABLE TABLET,"NMY MANUFACTURIN G SDN BHD, SELANGOR","NMY MANUFACTUR ING SDN BHD, SELANGOR",21/1/2020,21/1/2025,New Product Registration
59,201907052341T,MAL200162 35TC,SAFWA HEALTH CELERY & JUNIPER PLUS TART CHERRY VEGETABLE CAPSULE,"SAFWA HEALTH PRODUCTS SDN BHD, SELANGOR","WHITE HERON PHARMACEUTI CAL SDN BHD, KUALA LUMPUR",21/1/2020,21/1/2025,New Product Registration
60,201907262431T,MAL200162 36T,TK Y (NEW) CAPSULE,"EXTRA EXCEL (MALAYSIA) SDN BHD, SELANGOR","EXTRA EXCELLENCE MANUFACTUR ING (S) PTE LTD, SINGAPORE",21/1/2020,21/1/2025,New Product Registration
61,201907232412T,MAL200162 46TC,TERATAK JAMU KAPSUL YUSOF,"RUZA RESOURCES MANUFACTURIN G SDN BHD, KEDAH","RUZA RESOURCES MANUFACTUR ING SDN BHD, KEDAH",21/1/2020,21/1/2025,New Product Registration
62,201904302077T,MAL200162 37T,OK ORANG KAMPUNG TEH HERBA HALIA PLUS,"PERNIAGAAN ORANG KAMPUNG SDN BHD, MELAKA","PERNIAGAAN ORANG KAMPUNG SDN BHD, MELAKA",21/1/2020,21/1/2025,New Product Registration
